name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Al Mahwit Governorate	al-Mahwit,Muá¸©ÄfazÌ§at al Maá¸©wÄ«t,Ø§Ù„Ù…Ø­ÙˆÙŠØª,ÐœÐ°Ñ…Ð²Ð¸Ñ‚	relation	383903	boundary	administrative	43.4993500	15.3084789	8	0.55				Al Mahwit Governorate	Yemen	ye	Al Mahwit Governorate, Yemen	43.2408510	15.0495178	43.9148048	15.5711706	Q388280	ar:Ø§Ù„Ù…Ø­ÙˆÙŠØª (Ù…Ø­Ø§ÙØ¸Ø©)	
Maekel Region	Regione Centrale,Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ù…Ø±ÙƒØ²ÙŠØ©,Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ù…Ø±ÙƒØ²ÙŠØ© á‹žá‰£ áˆ›áŠ¥áŠ¨áˆ	relation	4610904	boundary	administrative	38.8753287	15.3673025	8	0.55				Maekel Region	Eritrea	er	Maekel Region, Eritrea	38.6812838	15.1299746	39.0376436	15.6013325	Q27710		
NU		way	30114309	boundary	administrative	-79.2071981	52.6350021	8	0.55				NU	Canada	ca	NU, Canada	-79.2190857	52.6292647	-79.1981354	52.6414948			
Debub Region	Regione del Sud,Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø¬Ù†ÙˆØ¨ÙŠØ©,Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø¬Ù†ÙˆØ¨ÙŠØ© Debub	relation	4610903	boundary	administrative	39.0037042	14.8419872	8	0.55				Debub Region	Eritrea	er	Debub Region, Eritrea	38.2615200	14.4073045	39.6628432	15.2862577	Q27728		
NU		way	30113999	boundary	administrative	-79.1496462	52.8217773	8	0.55				NU	Canada	ca	NU, Canada	-79.1712875	52.8110504	-79.1426544	52.8268393			
Anseba Region	á‹žá‰£ á‹“áŠ•áˆ°á‰£,Anseba,Regione dell'Anseba,Ø¹Ù†Ø³Ø¨Ø§,Ø¹Ù†Ø³Ø¨Ø§ á‹žá‰£ á‹“áŠ•áˆ°á‰£	relation	4605384	boundary	administrative	37.5578347	16.5395830	8	0.55				Anseba Region	Eritrea	er	Anseba Region, Eritrea	36.8963890	15.5306097	38.8738446	17.5455560	Q569468		
Gash-Barka Region	áŒ‹áˆ½-á‰£áˆ­áŠ«,Gash-Barka,Regione di Gash-Barka,Ø§Ù„Ù‚Ø§Ø´ ÙˆØ¨Ø±ÙƒØ§ áŒ‹áˆ½-á‰£áˆ­áŠ«,Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ù‚Ø§Ø´ ÙˆØ¨Ø±ÙƒØ§	relation	4605551	boundary	administrative	37.6123289	15.2361731	8	0.55				Gash-Barka Region	Eritrea	er	Gash-Barka Region, Eritrea	36.4333653	14.1810364	38.7623392	16.2986283	Q873012		
NU		way	30113664	boundary	administrative	-78.7071573	52.5236091	8	0.55				NU	Canada	ca	NU, Canada	-78.7297134	52.5147819	-78.7013626	52.5318679			
NU		way	29309881	boundary	administrative	-79.0154829	52.5153084	8	0.55				NU	Canada	ca	NU, Canada	-79.0264740	52.5121955	-79.0052262	52.5183067			
NU		way	30115300	boundary	administrative	-79.1691927	52.5337467	8	0.55				NU	Canada	ca	NU, Canada	-79.1899568	52.5176124	-79.1558228	52.5562133			
